NUMBER	GLOSS	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	above	sky rather than above, locative needed to mean above, or by using /tʰɐuk₄/	1741	ABOVE
2	acid		1906	SOUR
3	all		98	ALL
4	alive		1422	BE ALIVE
5	anger	to avoid someone due to being emotionally hurt. angry should be /t̪ɨn₁kʰɐi₂/, "bitter liver"	82	ANGER
6	arm		1673	ARM
7	arrow		977	ARROW
8	ash	specifically hearth ash, not other ash	646	ASH
9	aunt	i- is 1sg.poss, thus "my maternal aunt". paternal is /ŋɨi₁/.	3042	MATERNAL AUNT (MOTHER'S OLDER SISTER)
10	axe		677	AXE
11	bad		1292	BAD
12	bag	satchet, literally tobacco bag	2468	BAG
13	bamboo		1927	BAMBOO
14	basket, man's	not a basket, actually a carrying bag	2468	BAG
15	basket, woman's	largest type of basket used for carrying rice. not a woman's basket.	1539	BASKET
16	basket, small flat		1539	BASKET
17	bead	type of tightly worn woman's necklace. bead is /lɨk₄t̪ɨi₁/	1961	NECKLACE
18	bear		1820	BEAR
19	bee	Needham's underlined is nasalisty from the onset	665	BEE
20	belly		1251	BELLY
21	bird		937	BIRD
22	black	incorrect syllabification	163	BLACK
23	bite, v		1403	BITE
24	bitter	bitter of flavour	887	BITTER
25	blood	<r> here marks vowel quality	946	BLOOD
26	bone		1394	BONE
27	bow		994	BOW
28	bough		346	BANYAN
29	bracelet		1754	BRACELET
30	bridge		1011	BRIDGE
31	brother, elder	i- is 1sg.poss	1759	OLDER BROTHER
32	brother, younger	younger siblings are not distinguished for gender	427	YOUNGER SIBLING
33	buffalo		2516	WATER BUFFALO
34	bullet		1114	BULLET
35	bury, v		1719	BURY
36	buy, v		1869	BUY
37	calf of leg		498	CALF OF LEG
38	call, v	to call is /ɣəl₁/	1458	SAY
39	cane (small kind)		659	REED
40	cane (large kind)		2497	RATTAN
41	catch hold of, v		702	CATCH
42	caoutchouc	natural rubber		
43	child (able to walk)		2099	CHILD
44	child (baby)		2099	CHILD
45	chillic		919	CHILI PEPPER
46	claw	claw would be /kʰɨŋ₂/	1258	FINGERNAIL
47	climb, v		1102	CLIMB
48	cloth (chudder)	any blanket	806	BLANKET
49	cloud		1489	CLOUD
50	cold		2483	COLD (OF WEATHER)
51	comb		2070	COMB (VERB)
52	come, v		1446	COME
53	corpse	literally "person died", not corpse /mɐuŋ₂/ 		
54	cooking pot		3653	COOKING POT
55	cotton		1850	COTTON
56	cow		3044	BOVINE
57	cry		1839	CRY
58	cross bow	not attested today, but see elsewhere in Tangsa for /laʔ.koŋ/	3193	CROSSBOW
59	crow		913	CROW
60	dance, v		1879	DANCE
61	daughter	final l is present underlyingly	1357	DAUGHTER
62	to-day	only used in the morning. in the afternoon "today" is /m₁n̪ɨiʔ₄/	1283	TODAY
63	morrow		1329	TOMORROW
64	dhao		2680	MACHETE
65	daily			
66	deer	any flesh or meat or other animal. not deer specifically.	619	ANIMAL
67	dhan (paddy)		2749	UNHUSKED RICE
68	different		2504	DIFFERENT
69	dog		2009	DOG
70	door		1567	DOOR
71	drink		1401	DRINK
72	drinking cup (of bamboo)	modern cup. traditional ones are called /kok₄/.	476	CUP
73	drum		908	DRUM
74	beat drum			
75	dung		2057	DUNG (ANIMAL FAECES)
76	dust		2	DUST
77	ear		1247	EAR
78	earring		770	EARRING
79	earth		626	LAND
80	eat		1336	EAT
81	egg		744	EGG
82	empty		1624	EMPTY
83	eye		1248	EYE
84	face		1560	FACE
85	false		3069	FALSE
86	elephant		1290	ELEPHANT
87	fat (not lean)	Needham incorrectly glossed as the wrong "fat" in English	323	FAT (ORGANIC SUBSTANCE)
88	far		1406	FAR
89	father		1217	FATHER
90	fear		781	FEAR (FRIGHT)
91	feather	body hair or fur generally	1201	FEATHER
92	female		2105	FEMALE PERSON
93	finger		1303	FINGER
94	fire		221	FIRE
95	fire-place		185	FIREPLACE
96	fire-gun		1172	SHOOT
97	fish		227	FISH
98	flame		889	FLAME
99	flea	Needham glosses this incorrectly	2241	WILD CAT
100	flint striker	to light a fire with flint	737	LIGHT (IGNITE)
101	fly, v		1441	FLY (MOVE THROUGH AIR)
102	fog		249	FOG
103	foot		1301	FOOT
104	forget		1523	FORGET
105	forest		420	FOREST
106	forehead		123	FOREHEAD
107	fowl		265	FOWL
108	friend	form is unattested in the modern language	1325	FRIEND
109	get up, v (rise)		1512	RISE (ONESELF)
110	girl		1646	GIRL
111	give		1447	GIVE
112	go away, v	incorrectly glossed. to move slightly or gradually, not to leave		
113	goat		1502	GOAT
114	gong		2502	GONG
115	good		1035	GOOD
116	granary	also /ʦəm₁tum₁/	3657	GRANARY
117	gun		1566	GUN
118	gunpowder		1798	GUNPOWDER
119	flint for ditto			
120	hail	incorrect syllabification	609	HAIL
121	hair		2648	HAIR (HEAD)
122	hand		1277	HAND
123	hat		771	HAT
124	he		2642	HE OR SHE
125	here		136	HERE
126	here		136	HERE
127	head		1256	HEAD
128	heavy		1210	HEAVY
129	hill		614	HILL
130	horn		1393	HORN (ANATOMY)
131	hot		2272	HOT OR WARM
132	house		1252	HOUSE
133	notched steps leading up to house			
134	how		1239	HOW
135	high	this would only mean tall in terms of a person or mountain as it actually means large or big	1202	BIG
136	I		1209	I
137	ill		1847	SICK
138	Indian corn		506	MAIZE
139	iron		621	IRON
140	jungle		3808	JUNGLE
141	kill		1417	KILL
142	knee		1371	KNEE
143	knife		1352	KNIFE
144	kochu		351	TARO
145	large		1202	BIG
146	laugh, v		1355	LAUGH
147	leech	specifically terestrial leeches	2273	LEECH
148	leaf		628	LEAF
149	leg	the most general term including the foot	1297	LEG
150	lightning	lightning in the sky only, not while striking	1654	LIGHTNING
151	lip		478	LIP
152	light (not heavy)		1052	LIGHT (WEIGHT)
153	loin cloth		1965	LOINCLOTH
154	look, v		1819	LOOK
155	louse		1392	LOUSE
156	make, v		2575	DO OR MAKE
157	male		2106	MALE PERSON
158	many		1198	MANY
159	mat		195	MAT
160	monkey		1350	MONKEY
161	mortar for pounding paddy		224	MORTAR
162	pestle		225	PESTLE
163	mother		1216	MOTHER
164	moon		1313	MOON
165	mod	fermented rice beer		
166	mouth		674	MOUTH
167	mud		640	MUD
168	nail		502	NAIL (TOOL)
169	name		1405	NAME
170	near		1942	NEAR
171	nest		3549	BIRD NEST
172	net		2963	NET
173	now		1376	NOW
174	old		2112	OLD (AGED)
175	old man		406	OLD MAN
176	old woman		907	OLD WOMAN
177	petticoat			
178	woman's chudder			
179	pig		1337	PIG
180	pipe		2956	TUBE
181	place or put, v		998	PUT
182	poison	posion gathered from leaves and put on arrows. not fish poison.	655	POISON
183	post		281	POST
184	plantain		399	PLANTAIN
185	rice		3289	UNCOOKED RICE
186	cooked rice		1191	COOKED RICE
187	rain		2108	RAINING OR RAIN
188	red		156	RED
189	ring		1374	RING
190	ripe		178	RIPE
191	river, also water		666	RIVER
192	road		2457	PATH OR ROAD
193	roof of house	covering the roof beams. roof today is /βu₂kʰu₂/	769	ROOF
194	run		1519	RUN
195	salt		1274	SALT
196	sand	gravel or sand at the bank of a river	671	SAND
197	see, v		1409	SEE
198	seek, v		1468	LOOK FOR
199	seize, v		855	SEIZE
200	sell, v		1571	SELL
201	send, v		1127	SEND
202	sharp		1396	SHARP
203	shoot, v		1172	SHOOT
204	similar (alike)		1558	SIMILAR
205	sing, v		1261	SING
206	sit down, v		1649	SIT DOWN
207	skin	phonetic palatalisation from Needham's speaker	763	SKIN
208	sky		1732	SKY
209	slave		812	SLAVE
210	slippery	incorrect syllabification	3702	SLIPPERY
211	sleep, v	to lie down, not to sleep	215	LIE DOWN
212	small		1246	SMALL
213	smell		3704	ODOR (SMELL)
214	smoke		778	SMOKE (EXHAUST)
215	snake		730	SNAKE
216	snow		784	SNOW
217	son		1620	SON
218	sow, v		1486	PLANT (SOMETHING)
219	spear		945	SPEAR
220	spark		518	SPARK
221	spirit (evil)		1175	GHOST
222	stand		1442	STAND
223	star		1430	STAR
224	stay, v		987	REMAIN
225	stead	Needhams meaning is unclear, but likely meant "to lack"	2329	LACK (NOT HAVE)
226	stone		857	STONE
227	sun		1343	SUN
228	tail		1220	TAIL
229	take, v		1749	TAKE
230	that		78	THAT
231	them or they		817	THEY
232	there		1937	THERE
233	thief		1160	THIEF
234	thin (not thick)		2306	THIN (OF LEAF AND CLOTH)
235	thin (not thick)		2306	THIN (OF LEAF AND CLOTH)
236	thin (not fat)		1400	THIN (SLIM)
237	this		1214	THIS
238	thorn		124	THORN
239	thumb	simply finger, not thumb which would be /ʒɐuk₄ʃi₂kɨu₂/	1303	FINGER
240	thunder		1150	THUNDER
241	tiger		846	TIGER
242	tobacco		974	TOBACCO
243	toe		1389	TOE
244	tongue		1205	TONGUE
245	tooth		1380	TOOTH
246	touch wood			
247	track, v	to chase, not to track		
248	true		1657	TRUE
249	tree		906	TREE
250	uncle	paternal uncle. maternal is /ɣu₁/	1985	PATERNAL UNCLE (FATHER'S BROTHER)
251	unripe		1958	UNRIPE
252	village	more commonly /ɣaʔ₄ʃuŋ₃/ today	930	VILLAGE
253	war		935	WAR
254	what?		1236	WHAT
255	where		1237	WHERE
256	white		1335	WHITE
257	who?		1235	WHO
258	why?		1270	WHY
259	wing		1257	WING
260	worm		1219	WORM
261	yesterday		1174	YESTERDAY
262	you		1215	THOU
263	young man		76	YOUNG MAN
264	young woman		77	YOUNG WOMAN
